Tree #,Month,Cone Stage,Scale Thickness (mm),Seed #,Conopthorus sp. (Beetle larva) ,Megastigmus (Wasp),Midge,Pinyon bore moth,Spider ,Unknown Seed insect,Comments,name,Cone Stage,,1,Young small cones,,,,,,,,,,,,,,
3,January,1,7.5,8,0,0,0,0,0,1,Many seeds nonviable ,MCR,young/closed=1,,2,Middle age sappy cones,,,,,,,,,,,,,,
3,January,2,8,0,0,0,0,0,0,0,,MCR,middle/open=2,,3,Old dry cones,,,,,,,,,,,,,,
3,January,1,4,6,0,0,0,0,0,0,,MCR,old/dry open=3,,,,,,,,,,,,,,,,,
3,January,3,7.5,0,0,0,0,0,0,0,Dried ,MCR,,,,,,,,,,,,,,,,,,
3,January,3,6,0,0,0,0,0,0,0,Dried ,MCR,,,,,,,,,,,,,,,,,,
3,January,2,7,0,0,0,0,0,0,0,,MCR,,,,Rotter ID notes ,,,,,,,,,,,,,,
12,January,3,5,0,0,0,0,0,0,0,,MCR,,,,Beetle,has mostly frass in the seeds can be in center of cone ,,,,,,,,,,,,,
12,January,1,5,6,1,0,0,0,0,0,,MCR,,,,wasp,will be silken cocoon ,,,,,,,,,,,,,
12,January,2,7,0,0,0,0,0,0,0,,MCR,,,,Midges ,"May look like a small mosquito or fly, larva are maggots",,,,,,,,,,,,,
12,January,2,7,1,0,0,0,0,0,0,,MCR,,,,Moth,Will look like a caterpillar ,,,,,,,,,,,,,
12,January,1,5.5,2,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
12,January,1,5,3,1,0,0,0,0,0,tightly closed,MCR,,,,,,,,,,,,,,,,,,
5,January,1,5.5,0,1,0,0,0,0,0,entire center taken up,MCR,,,,,,,,,,,,,,,,,,
5,January,2,7,0,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
5,January,2,7,0,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
5,January,1,5,0,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
5,January,3,6,0,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
5,January,3,7,0,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
21,January,3,6,0,0,0,0,0,0,0,,MCR,,,,,,,,,,,,,,,,,,
21,January,1,4,0,0,1,0,0,0,0,Possibly wasp,MCR,,,,,,,,,,,,,,,,,,
21,January,2,5,0,0,0,0,0,0,0,Possibly wasp,MBF,,,,,,,,,,,,,,,,,,
